GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[2.027949810028076, 1.935990571975708, 1.9074147939682007, 1.8347363471984863]"
1300.0,2006-12-01T00:00:00.000000000,"[2.4455649852752686, 2.4015607833862305, 2.621582269668579, 2.819601535797119]","[2.135458469390869, 2.0299525260925293, 1.996646761894226, 1.9104366302490234]"
1300.0,2007-03-01T00:00:00.000000000,"[2.4015607833862305, 2.621582269668579, 2.819601535797119, 2.775597333908081]","[2.1251437664031982, 2.020120859146118, 1.9757635593414307, 1.8920233249664307]"
1300.0,2007-06-01T00:00:00.000000000,"[2.621582269668579, 2.819601535797119, 2.775597333908081, 2.665586471557617]","[2.1879329681396484, 2.0672972202301025, 2.020486831665039, 1.9218900203704834]"
1300.0,2007-09-01T00:00:00.000000000,"[2.819601535797119, 2.775597333908081, 2.665586471557617, 2.9516141414642334]","[2.2833917140960693, 2.1735970973968506, 2.1349847316741943, 2.0474183559417725]"
1300.0,2007-12-01T00:00:00.000000000,"[2.775597333908081, 2.665586471557617, 2.9516141414642334, 2.819601535797119]","[2.4059488773345947, 2.2901010513305664, 2.252784252166748, 2.1593453884124756]"
1300.0,2008-03-01T00:00:00.000000000,"[2.665586471557617, 2.9516141414642334, 2.819601535797119, 3.127631425857544]","[2.4255783557891846, 2.308257579803467, 2.259936571121216, 2.166663885116577]"
1300.0,2008-06-01T00:00:00.000000000,"[2.9516141414642334, 2.819601535797119, 3.127631425857544, 2.9516141414642334]","[2.4757957458496094, 2.340925693511963, 2.2878522872924805, 2.1782708168029785]"
1300.0,2008-09-01T00:00:00.000000000,"[2.819601535797119, 3.127631425857544, 2.9516141414642334, 3.259644031524658]","[2.5973896980285645, 2.4749622344970703, 2.432522773742676, 2.3355300426483154]"
1300.0,2008-12-01T00:00:00.000000000,"[3.127631425857544, 2.9516141414642334, 3.259644031524658, 3.1496336460113525]","[2.5964598655700684, 2.4753785133361816, 2.4315662384033203, 2.3390820026397705]"
1300.0,2009-03-01T00:00:00.000000000,"[2.9516141414642334, 3.259644031524658, 3.1496336460113525, 3.369654893875122]","[2.7369701862335205, 2.6279380321502686, 2.5903444290161133, 2.5085315704345703]"
1300.0,2009-06-01T00:00:00.000000000,"[3.259644031524658, 3.1496336460113525, 3.369654893875122, 3.5896763801574707]","[2.8120453357696533, 2.6814422607421875, 2.6423871517181396, 2.5405080318450928]"
1300.0,2009-09-01T00:00:00.000000000,"[3.1496336460113525, 3.369654893875122, 3.5896763801574707, 3.8096976280212402]","[2.9569015502929688, 2.8286664485931396, 2.786930799484253, 2.686676025390625]"
1300.0,2009-12-01T00:00:00.000000000,"[3.369654893875122, 3.5896763801574707, 3.8096976280212402, 3.765693426132202]","[2.93975830078125, 2.82411527633667, 2.7899832725524902, 2.7069249153137207]"
1300.0,2010-03-01T00:00:00.000000000,"[3.5896763801574707, 3.8096976280212402, 3.765693426132202, 3.5016677379608154]","[3.0456089973449707, 2.948519706726074, 2.9202287197113037, 2.855067729949951]"
1300.0,2010-06-01T00:00:00.000000000,"[3.8096976280212402, 3.765693426132202, 3.5016677379608154, 3.523669719696045]","[3.234302043914795, 3.1169159412384033, 3.0924501419067383, 3.004988670349121]"
1300.0,2010-09-01T00:00:00.000000000,"[3.765693426132202, 3.5016677379608154, 3.523669719696045, 3.919708251953125]","[3.3701577186584473, 3.234971523284912, 3.1944236755371094, 3.087383270263672]"
1300.0,2010-12-01T00:00:00.000000000,"[3.5016677379608154, 3.523669719696045, 3.919708251953125, 3.875704050064087]","[3.4008822441101074, 3.2529826164245605, 3.201406478881836, 3.0841879844665527]"
1300.0,2011-03-01T00:00:00.000000000,"[3.523669719696045, 3.919708251953125, 3.875704050064087, 3.831699848175049]","[3.3268930912017822, 3.1981067657470703, 3.145655870437622, 3.052551031112671]"
1300.0,2011-06-01T00:00:00.000000000,"[3.919708251953125, 3.875704050064087, 3.831699848175049, 4.161732196807861]","[3.351091146469116, 3.2462899684906006, 3.212618589401245, 3.1429998874664307]"
1300.0,2011-09-01T00:00:00.000000000,"[3.875704050064087, 3.831699848175049, 4.161732196807861, 2.071528673171997]","[3.528083324432373, 3.44740629196167, 3.437635660171509, 3.3879988193511963]"
1300.0,2011-12-01T00:00:00.000000000,"[3.831699848175049, 4.161732196807861, 2.071528673171997, 2.7315926551818848]","[3.4163029193878174, 3.3748583793640137, 3.3717851638793945, 3.36799693107605]"
1300.0,2012-03-01T00:00:00.000000000,"[4.161732196807861, 2.071528673171997, 2.7315926551818848, 3.8537018299102783]","[3.6229231357574463, 3.5820400714874268, 3.5639145374298096, 3.554558753967285]"
1300.0,2012-06-01T00:00:00.000000000,"[2.071528673171997, 2.7315926551818848, 3.8537018299102783, 3.523669719696045]","[3.781804323196411, 3.741515874862671, 3.7366669178009033, 3.7258248329162598]"
1300.0,2012-09-01T00:00:00.000000000,"[2.7315926551818848, 3.8537018299102783, 3.523669719696045, 3.7436912059783936]","[2.80466890335083, 2.8048834800720215, 2.7791097164154053, 2.8339877128601074]"
1300.0,2012-12-01T00:00:00.000000000,"[3.8537018299102783, 3.523669719696045, 3.7436912059783936, 3.7436912059783936]","[2.933469772338867, 2.989553689956665, 2.9913485050201416, 3.1463515758514404]"
1300.0,2013-03-01T00:00:00.000000000,"[3.523669719696045, 3.7436912059783936, 3.7436912059783936, 3.8977060317993164]","[3.5611157417297363, 3.547128200531006, 3.581526041030884, 3.621366024017334]"
1440.0,2006-06-01T00:00:00.000000000,"[1.0594303607940674, 1.5214751958847046, 0.35536178946495056, 2.115532875061035]","[1.3640252351760864, 1.398918867111206, 1.386915922164917, 1.5041553974151611]"
1440.0,2006-09-01T00:00:00.000000000,"[1.5214751958847046, 0.35536178946495056, 2.115532875061035, 1.2354472875595093]","[1.241288185119629, 1.2277706861495972, 1.2503963708877563, 1.2748808860778809]"
1440.0,2006-12-01T00:00:00.000000000,"[0.35536178946495056, 2.115532875061035, 1.2354472875595093, 1.6314857006072998]","[1.182960033416748, 1.2321542501449585, 1.2043272256851196, 1.3491052389144897]"
1440.0,2007-03-01T00:00:00.000000000,"[2.115532875061035, 1.2354472875595093, 1.6314857006072998, 0.35536178946495056]","[0.6788755655288696, 0.7393428683280945, 0.823440670967102, 0.8583593368530273]"
1440.0,2007-06-01T00:00:00.000000000,"[1.2354472875595093, 1.6314857006072998, 0.35536178946495056, 1.5434772968292236]","[1.4153213500976562, 1.4416559934616089, 1.4377596378326416, 1.5410068035125732]"
1440.0,2007-09-01T00:00:00.000000000,"[1.6314857006072998, 0.35536178946495056, 1.5434772968292236, 1.3894624710083008]","[1.4634088277816772, 1.432085394859314, 1.4869060516357422, 1.4884130954742432]"
1440.0,2007-12-01T00:00:00.000000000,"[0.35536178946495056, 1.5434772968292236, 1.3894624710083008, 2.1595370769500732]","[1.2322231531143188, 1.28141450881958, 1.2483563423156738, 1.385075569152832]"
