GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.6832517385482788, -0.6805127263069153, -0.6449810862541199, -0.6625771522521973]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.5304790735244751, -0.486776202917099, -0.4148623049259186, -0.20486027002334595]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.5231263637542725, -0.5751846432685852, -0.508855938911438, -0.3410857915878296]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.7112663984298706, -0.6376805305480957, -0.5602786540985107, -0.2646614909172058]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.4089445173740387, -0.434418261051178, -0.26890116930007935, -0.6085093021392822]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.6561841368675232, -0.6003029346466064, -0.5186076164245605, -0.2561168074607849]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.6163892149925232, -1.1803486347198486, -1.0498114824295044, -0.7348611354827881]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.8400659561157227, -0.7547359466552734, -0.6740307807922363, -0.3424222469329834]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.6666944622993469, -0.6724399924278259, -0.6007032990455627, -0.7155669331550598]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.6671662926673889, -0.639039158821106, -0.5915185809135437, -0.45826444029808044]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.6462011933326721, -1.2331998348236084, -1.1366674900054932, -0.9291136264801025]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.7613092064857483, -0.7101365923881531, -0.6644710302352905, -0.47604408860206604]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.6658931374549866, -0.662962794303894, -0.6323331594467163, -0.6547420024871826]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.5704829096794128, -0.5552974343299866, -0.5618741512298584, -0.5510476231575012]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.4016731083393097, -0.6248652935028076, -0.5833449959754944, -0.5228657126426697]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.6570394039154053, -0.6001361012458801, -0.5513906478881836, -0.33904150128364563]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.5084440112113953, -0.6025357842445374, -0.5279476046562195, -0.5152861475944519]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.6050575971603394, -0.5962873101234436, -0.5864092707633972, -0.5644991993904114]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.5395089983940125, -0.5893471240997314, -0.5762598514556885, -0.5418476462364197]"
