group,text,n_features,dest,mse,mae,rmse,r2,kelly_r2
all,no_text,55,./runs_nasdow/results/20250926-143940_all_no_text,1.9722195863723755,0.7266803979873657,1.404357357075604,0.7459903388193849,0.8359537315557569
all,no_text,55,./runs_nasdow/results/20250926-190901_all_no_text,2.0765340328216553,0.766099214553833,1.4410184012779488,0.732555263000226,0.8272769983789375
all,with_text,55,./runs_nasdow/results/20250926-211528_all_with_text,2.6526947021484375,0.897350549697876,1.628709520494197,0.6583493391494128,0.7793528176702056
Capital_Structure,no_text,11,./runs_nasdow/results/20250926-232246_Capital_Structure_no_text,2.034731388092041,0.7530519962310791,1.4264401102366833,0.7379391974997469,0.8307540880301323
Capital_Structure,with_text,11,./runs_nasdow/results/20250926-235250_Capital_Structure_with_text,2.323444128036499,0.8182440996170044,1.524284792299818,0.7007547845987127,0.8067393944458312
Liquidity,no_text,11,./runs_nasdow/results/20250927-002309_Liquidity_no_text,2.034731388092041,0.7530519962310791,1.4264401102366833,0.7379391974997469,0.8307540880301323
Liquidity,with_text,11,./runs_nasdow/results/20250927-005314_Liquidity_with_text,2.323444128036499,0.8182440996170044,1.524284792299818,0.7007547845987127,0.8067393944458312
Profitability,no_text,15,./runs_nasdow/results/20250927-012332_Profitability_no_text,1.970978021621704,0.7413322925567627,1.403915247307224,0.746150239506441,0.8360569997185162
Profitability,with_text,15,./runs_nasdow/results/20250927-020048_Profitability_with_text,2.4898459911346436,0.8504307866096497,1.5779245834749656,0.6793232571631006,0.7928983378240806
Turnover,no_text,7,./runs_nasdow/results/20250927-023823_Turnover_no_text,2.0326387882232666,0.7453858256340027,1.4257064172624274,0.7382086999090395,0.8309281399318423
Turnover,with_text,7,./runs_nasdow/results/20250927-025849_Turnover_with_text,2.4697072505950928,0.8677796721458435,1.5715302257974846,0.681917016378788,0.7945734572608718
Valuation,no_text,8,./runs_nasdow/results/20250927-031925_Valuation_no_text,2.119399309158325,0.7751327753067017,1.455815685160153,0.7270344930848094,0.8237115367372272
Valuation,with_text,8,./runs_nasdow/results/20250927-034404_Valuation_with_text,2.472425937652588,0.8587771058082581,1.5723949687189247,0.6815668410994009,0.7943473046506998
