GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.7305485606193542, -0.7152522206306458, -0.7548407316207886, -0.7073751091957092]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.7153905630111694, -0.6971538066864014, -0.7496316432952881, -0.7112709283828735]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.8192301392555237, -0.8144533634185791, -0.8010473251342773, -0.7160378694534302]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.8285548686981201, -0.8249685168266296, -0.814559280872345, -0.733657956123352]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.8634033799171448, -0.860621988773346, -0.8465362787246704, -0.7641766667366028]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.9396469593048096, -0.9306580424308777, -0.9163116812705994, -0.8322274684906006]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-1.1706079244613647, -1.151232361793518, -1.1012818813323975, -0.9872953295707703]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.9833670854568481, -0.9754865169525146, -0.9543213844299316, -0.8660597205162048]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.936166524887085, -0.8974345922470093, -0.8478212356567383, -0.8377553224563599]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.8804988265037537, -0.8331233859062195, -0.837790846824646, -0.7549593448638916]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.5583881139755249, -0.5758501291275024, -0.5783315300941467, -0.5009610652923584]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.7038470506668091, -0.7014635801315308, -0.6884700059890747, -0.6259560585021973]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.6842429637908936, -0.5813168883323669, -0.6444094181060791, -0.6167411804199219]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.7345553040504456, -0.7133102416992188, -0.7195503115653992, -0.652485191822052]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.4105324447154999, -0.43454471230506897, -0.4441036581993103, -0.37296828627586365]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.5940130949020386, -0.5574175715446472, -0.5922990441322327, -0.5325020551681519]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.47992420196533203, -0.43334656953811646, -0.37149500846862793, -0.4486396908760071]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.47422629594802856, -0.3843979239463806, -0.4862394332885742, -0.42363184690475464]"
