GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.7357112765312195, -0.8750653862953186, -0.820330023765564, -0.792179524898529]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.6849749088287354, -0.791526198387146, -0.8187457919120789, -0.7316514849662781]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.5354030728340149, -0.6582526564598083, -0.7574364542961121, -0.624934732913971]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.6368574500083923, -0.7510101795196533, -0.7903454303741455, -0.707683801651001]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.6598027944564819, -0.7785109281539917, -0.8581638932228088, -0.7336071729660034]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.5881800651550293, -0.7448248863220215, -0.8407883644104004, -0.7041083574295044]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.5562653541564941, -0.7351269721984863, -0.8412413597106934, -0.6981251835823059]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.6728218793869019, -0.8141749501228333, -0.9073395729064941, -0.7773886322975159]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.5969398021697998, -0.7233163714408875, -0.8097250461578369, -0.6929187774658203]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.5113688707351685, -0.655643105506897, -0.7459213733673096, -0.6269490122795105]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.5110327005386353, -0.64754319190979, -0.7324496507644653, -0.6159634590148926]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.5981283783912659, -0.6950411200523376, -0.7640613913536072, -0.6593610644340515]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.5554191470146179, -0.6377869248390198, -0.7117161750793457, -0.6123756170272827]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.5323225259780884, -0.6369028687477112, -0.7053312063217163, -0.5998858213424683]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.451312392950058, -0.5926916599273682, -0.6790527105331421, -0.5648379325866699]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.5935521125793457, -0.6698468923568726, -0.7157177329063416, -0.6239857077598572]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.6058988571166992, -0.6517108678817749, -0.6899502873420715, -0.6077472567558289]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.502825140953064, -0.5731447339057922, -0.6192314624786377, -0.5341876745223999]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.40615275502204895, -0.4929836094379425, -0.5541852712631226, -0.4642254710197449]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.6250004768371582, -0.6572988629341125, -0.6545841097831726, -0.6403995156288147]"
1161.0,2011-06-01T00:00:00.000000000,"[-0.5247237682342529, -0.30470237135887146, 0.003327556187286973, -0.30470237135887146]","[-0.6285222768783569, -0.6542360186576843, -0.6625768542289734, -0.6394647359848022]"
1161.0,2011-09-01T00:00:00.000000000,"[-0.30470237135887146, 0.003327556187286973, -0.30470237135887146, -0.30470237135887146]","[-0.6051017642021179, -0.6312346458435059, -0.653024435043335, -0.6216021776199341]"
1161.0,2011-12-01T00:00:00.000000000,"[0.003327556187286973, -0.30470237135887146, -0.30470237135887146, 0.20134682953357697]","[-0.5879430770874023, -0.6192179918289185, -0.6395370960235596, -0.6107689142227173]"
1161.0,2012-03-01T00:00:00.000000000,"[-0.30470237135887146, -0.30470237135887146, 0.20134682953357697, 0.44337034225463867]","[-0.5522432923316956, -0.595863938331604, -0.6239063143730164, -0.5864365696907043]"
1161.0,2012-06-01T00:00:00.000000000,"[-0.30470237135887146, 0.20134682953357697, 0.44337034225463867, 0.44337034225463867]","[-0.5370569825172424, -0.5838583111763, -0.6161008477210999, -0.5747297406196594]"
1161.0,2012-09-01T00:00:00.000000000,"[0.20134682953357697, 0.44337034225463867, 0.44337034225463867, 0.6853939294815063]","[-0.523642897605896, -0.5764111280441284, -0.6083014607429504, -0.5662816166877747]"
1161.0,2012-12-01T00:00:00.000000000,"[0.44337034225463867, 0.44337034225463867, 0.6853939294815063, 0.9054153561592102]","[-0.4762524366378784, -0.5459426641464233, -0.5848501920700073, -0.5339877605438232]"
1161.0,2013-03-01T00:00:00.000000000,"[0.44337034225463867, 0.6853939294815063, 0.9054153561592102, 1.323456048965454]","[-0.3981783092021942, -0.4989708662033081, -0.551275372505188, -0.48418378829956055]"
1300.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.533573627471924, 2.4455649852752686, 2.4015607833862305]","[1.5264405012130737, 1.3730010986328125, 1.2921710014343262, 1.396088719367981]"
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[1.584374189376831, 1.433959722518921, 1.3600186109542847, 1.4641566276550293]"
