GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.6620230078697205, -0.7575474977493286, -0.5399715900421143, -0.9358317852020264]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.38807523250579834, -0.44918400049209595, -0.32909655570983887, -0.3865106701850891]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.6727603673934937, -0.7024151086807251, -0.5829837918281555, -0.41120463609695435]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.7625236511230469, -0.728621780872345, -0.41777145862579346, -0.46910402178764343]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.6305278539657593, -0.6165704727172852, -0.09661906957626343, -0.5906389355659485]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-0.40624329447746277, -0.5464811325073242, -0.49484968185424805, -0.37700605392456055]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-0.8275184631347656, -0.9524386525154114, -0.8874883651733398, -0.4296100437641144]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-0.8433354496955872, -0.793311595916748, -0.41184860467910767, -0.6258406043052673]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.8398876786231995, -0.7022883892059326, -1.2159347534179688e-05, -0.5636458396911621]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.6581120491027832, -0.6631264686584473, -0.5500394105911255, -0.5742597579956055]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.9533944129943848, -1.0749104022979736, -0.9982885122299194, -0.4999811351299286]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.598671555519104, -0.5764445662498474, -0.31205183267593384, -0.4981060028076172]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.5952925682067871, -0.5426403880119324, -0.2054436206817627, -0.48580360412597656]"
1161.0,2009-09-01T00:00:00.000000000,"[-0.48071953654289246, -0.5247237682342529, -0.45871737599372864, -0.39271095395088196]","[-0.5972934365272522, -0.623324990272522, -0.6326033473014832, -0.5488045811653137]"
1161.0,2009-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.45871737599372864, -0.39271095395088196, -0.4147131145000458]","[-0.4228493571281433, -0.5290212631225586, -0.54083651304245, -0.3542284369468689]"
1161.0,2010-03-01T00:00:00.000000000,"[-0.45871737599372864, -0.39271095395088196, -0.4147131145000458, -0.5247237682342529]","[-0.7354403734207153, -0.7561424970626831, -0.650537371635437, -0.3773675858974457]"
1161.0,2010-06-01T00:00:00.000000000,"[-0.39271095395088196, -0.4147131145000458, -0.5247237682342529, -0.5687280893325806]","[-0.5777140259742737, -0.486689031124115, -0.05814629793167114, -0.40579110383987427]"
1161.0,2010-09-01T00:00:00.000000000,"[-0.4147131145000458, -0.5247237682342529, -0.5687280893325806, -0.5247237682342529]","[-0.6196576356887817, -0.528227686882019, -0.6996451616287231, -0.5081422328948975]"
1161.0,2010-12-01T00:00:00.000000000,"[-0.5247237682342529, -0.5687280893325806, -0.5247237682342529, -0.30470237135887146]","[-0.4308168292045593, -0.7234215140342712, -0.6058744192123413, -0.4529827833175659]"
1161.0,2011-03-01T00:00:00.000000000,"[-0.5687280893325806, -0.5247237682342529, -0.30470237135887146, 0.003327556187286973]","[-0.5980479717254639, -0.6078712344169617, -0.5458977222442627, -0.6128647923469543]"
1161.0,2011-06-01T00:00:00.000000000,"[-0.5247237682342529, -0.30470237135887146, 0.003327556187286973, -0.30470237135887146]","[-0.5792934894561768, -0.6080623269081116, -0.5732983946800232, -0.6419550180435181]"
1161.0,2011-09-01T00:00:00.000000000,"[-0.30470237135887146, 0.003327556187286973, -0.30470237135887146, -0.30470237135887146]","[-0.5430692434310913, -0.5664193630218506, -0.5396748781204224, -0.5561708807945251]"
1161.0,2011-12-01T00:00:00.000000000,"[0.003327556187286973, -0.30470237135887146, -0.30470237135887146, 0.20134682953357697]","[-0.47525539994239807, -0.5189697742462158, -0.4884874224662781, -0.475821316242218]"
1161.0,2012-03-01T00:00:00.000000000,"[-0.30470237135887146, -0.30470237135887146, 0.20134682953357697, 0.44337034225463867]","[-0.43159499764442444, -0.4412522315979004, -0.42208972573280334, -0.43590062856674194]"
1161.0,2012-06-01T00:00:00.000000000,"[-0.30470237135887146, 0.20134682953357697, 0.44337034225463867, 0.44337034225463867]","[-0.4819949269294739, -0.5144864320755005, -0.5212457776069641, -0.6477596759796143]"
1161.0,2012-09-01T00:00:00.000000000,"[0.20134682953357697, 0.44337034225463867, 0.44337034225463867, 0.6853939294815063]","[-0.4141905903816223, -0.45965683460235596, -0.5191701054573059, -0.5567530393600464]"
1161.0,2012-12-01T00:00:00.000000000,"[0.44337034225463867, 0.44337034225463867, 0.6853939294815063, 0.9054153561592102]","[-0.09862834215164185, -0.21648767590522766, -0.23833227157592773, -0.14110609889030457]"
1161.0,2013-03-01T00:00:00.000000000,"[0.44337034225463867, 0.6853939294815063, 0.9054153561592102, 1.323456048965454]","[-0.05773705244064331, -0.22150647640228271, -0.2697380781173706, -0.25430789589881897]"
1300.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.533573627471924, 2.4455649852752686, 2.4015607833862305]","[1.9669296741485596, 2.2190778255462646, 2.1885433197021484, 2.0196709632873535]"
1300.0,2006-09-01T00:00:00.000000000,"[2.533573627471924, 2.4455649852752686, 2.4015607833862305, 2.621582269668579]","[2.280460834503174, 2.42455792427063, 2.0918285846710205, 2.2747323513031006]"
1300.0,2006-12-01T00:00:00.000000000,"[2.4455649852752686, 2.4015607833862305, 2.621582269668579, 2.819601535797119]","[2.311633825302124, 2.146136999130249, 2.34877872467041, 2.420192241668701]"
1300.0,2007-03-01T00:00:00.000000000,"[2.4015607833862305, 2.621582269668579, 2.819601535797119, 2.775597333908081]","[2.0074779987335205, 2.198453664779663, 2.3160195350646973, 2.241903781890869]"
1300.0,2007-06-01T00:00:00.000000000,"[2.621582269668579, 2.819601535797119, 2.775597333908081, 2.665586471557617]","[2.2348766326904297, 2.4403328895568848, 2.399003028869629, 2.2266829013824463]"
1300.0,2007-09-01T00:00:00.000000000,"[2.819601535797119, 2.775597333908081, 2.665586471557617, 2.9516141414642334]","[2.5528831481933594, 2.6567022800445557, 2.3452463150024414, 2.5916056632995605]"
1300.0,2007-12-01T00:00:00.000000000,"[2.775597333908081, 2.665586471557617, 2.9516141414642334, 2.819601535797119]","[2.5450568199157715, 2.341000556945801, 2.556703567504883, 2.703911304473877]"
1300.0,2008-03-01T00:00:00.000000000,"[2.665586471557617, 2.9516141414642334, 2.819601535797119, 3.127631425857544]","[2.264096736907959, 2.4687082767486572, 2.5825862884521484, 2.5250566005706787]"
1300.0,2008-06-01T00:00:00.000000000,"[2.9516141414642334, 2.819601535797119, 3.127631425857544, 2.9516141414642334]","[2.4722394943237305, 2.581475019454956, 2.556389331817627, 2.368901252746582]"
1300.0,2008-09-01T00:00:00.000000000,"[2.819601535797119, 3.127631425857544, 2.9516141414642334, 3.259644031524658]","[2.8434698581695557, 2.8949403762817383, 2.5747318267822266, 2.815682888031006]"
1300.0,2008-12-01T00:00:00.000000000,"[3.127631425857544, 2.9516141414642334, 3.259644031524658, 3.1496336460113525]","[2.741030216217041, 2.389247179031372, 2.6357178688049316, 2.7491416931152344]"
1300.0,2009-03-01T00:00:00.000000000,"[2.9516141414642334, 3.259644031524658, 3.1496336460113525, 3.369654893875122]","[2.668487548828125, 2.853081226348877, 2.901939630508423, 2.7773072719573975]"
1300.0,2009-06-01T00:00:00.000000000,"[3.259644031524658, 3.1496336460113525, 3.369654893875122, 3.5896763801574707]","[2.8289599418640137, 2.7809550762176514, 2.780735731124878, 2.608964204788208]"
1300.0,2009-09-01T00:00:00.000000000,"[3.1496336460113525, 3.369654893875122, 3.5896763801574707, 3.8096976280212402]","[3.195803165435791, 3.242844820022583, 2.8983967304229736, 3.063884735107422]"
1300.0,2009-12-01T00:00:00.000000000,"[3.369654893875122, 3.5896763801574707, 3.8096976280212402, 3.765693426132202]","[3.1441810131073, 2.7738471031188965, 2.985646963119507, 3.149057626724243]"
1300.0,2010-03-01T00:00:00.000000000,"[3.5896763801574707, 3.8096976280212402, 3.765693426132202, 3.5016677379608154]","[2.9976892471313477, 3.2532525062561035, 3.1803736686706543, 3.054072856903076]"
1300.0,2010-06-01T00:00:00.000000000,"[3.8096976280212402, 3.765693426132202, 3.5016677379608154, 3.523669719696045]","[3.249143600463867, 3.401860237121582, 3.3772568702697754, 3.217346668243408]"
1300.0,2010-09-01T00:00:00.000000000,"[3.765693426132202, 3.5016677379608154, 3.523669719696045, 3.919708251953125]","[3.5985870361328125, 3.6497721672058105, 3.384697675704956, 3.549984931945801]"
1300.0,2010-12-01T00:00:00.000000000,"[3.5016677379608154, 3.523669719696045, 3.919708251953125, 3.875704050064087]","[3.5975213050842285, 3.3203041553497314, 3.495095729827881, 3.5807762145996094]"
1300.0,2011-03-01T00:00:00.000000000,"[3.523669719696045, 3.919708251953125, 3.875704050064087, 3.831699848175049]","[3.4182538986206055, 3.5226516723632812, 3.4071435928344727, 3.3749146461486816]"
1300.0,2011-06-01T00:00:00.000000000,"[3.919708251953125, 3.875704050064087, 3.831699848175049, 4.161732196807861]","[3.54081392288208, 3.604752540588379, 3.472310781478882, 3.4767189025878906]"
1300.0,2011-09-01T00:00:00.000000000,"[3.875704050064087, 3.831699848175049, 4.161732196807861, 2.071528673171997]","[3.719015598297119, 3.7340526580810547, 3.598304271697998, 3.6965394020080566]"
1300.0,2011-12-01T00:00:00.000000000,"[3.831699848175049, 4.161732196807861, 2.071528673171997, 2.7315926551818848]","[3.6148526668548584, 3.70497465133667, 3.8437604904174805, 3.7330408096313477]"
1300.0,2012-03-01T00:00:00.000000000,"[4.161732196807861, 2.071528673171997, 2.7315926551818848, 3.8537018299102783]","[3.6282553672790527, 3.9922118186950684, 3.8505489826202393, 3.6880147457122803]"
1300.0,2012-06-01T00:00:00.000000000,"[2.071528673171997, 2.7315926551818848, 3.8537018299102783, 3.523669719696045]","[4.0198516845703125, 4.201350688934326, 3.9094090461730957, 3.987452983856201]"
1300.0,2012-09-01T00:00:00.000000000,"[2.7315926551818848, 3.8537018299102783, 3.523669719696045, 3.7436912059783936]","[3.312390089035034, 3.088348627090454, 3.252068042755127, 3.1202235221862793]"
1300.0,2012-12-01T00:00:00.000000000,"[3.8537018299102783, 3.523669719696045, 3.7436912059783936, 3.7436912059783936]","[3.2831406593322754, 3.3481650352478027, 3.457437515258789, 3.290644407272339]"
1300.0,2013-03-01T00:00:00.000000000,"[3.523669719696045, 3.7436912059783936, 3.7436912059783936, 3.8977060317993164]","[3.646998167037964, 3.6358726024627686, 3.8527982234954834, 3.776587963104248]"
1440.0,2006-06-01T00:00:00.000000000,"[1.0594303607940674, 1.5214751958847046, 0.35536178946495056, 2.115532875061035]","[1.2271214723587036, 1.781752586364746, 1.0055923461914062, 1.5280208587646484]"
1440.0,2006-09-01T00:00:00.000000000,"[1.5214751958847046, 0.35536178946495056, 2.115532875061035, 1.2354472875595093]","[1.239659070968628, 0.9618120193481445, 1.261549711227417, 1.1431033611297607]"
1440.0,2006-12-01T00:00:00.000000000,"[0.35536178946495056, 2.115532875061035, 1.2354472875595093, 1.6314857006072998]","[0.9408539533615112, 1.1836806535720825, 0.8873497843742371, 1.286138653755188]"
1440.0,2007-03-01T00:00:00.000000000,"[2.115532875061035, 1.2354472875595093, 1.6314857006072998, 0.35536178946495056]","[0.7939785718917847, 0.6517882347106934, 1.3135409355163574, 0.675007700920105]"
1440.0,2007-06-01T00:00:00.000000000,"[1.2354472875595093, 1.6314857006072998, 0.35536178946495056, 1.5434772968292236]","[1.3927507400512695, 2.1133241653442383, 1.1932895183563232, 1.5961756706237793]"
1440.0,2007-09-01T00:00:00.000000000,"[1.6314857006072998, 0.35536178946495056, 1.5434772968292236, 1.3894624710083008]","[1.367023229598999, 1.066762089729309, 1.3202255964279175, 1.3076320886611938]"
