GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1161.0,2006-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.6347345113754272, -0.7007409334182739, -0.898760199546814]","[-0.5866990685462952, -0.5649958848953247, -0.5806774497032166, -0.5727130174636841]"
1161.0,2006-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.7007409334182739, -0.898760199546814, -1.0747772455215454]","[-0.7023013830184937, -0.6617803573608398, -0.6396111845970154, -0.5599315762519836]"
1161.0,2006-12-01T00:00:00.000000000,"[-0.7007409334182739, -0.898760199546814, -1.0747772455215454, -1.0747772455215454]","[-0.7962848544120789, -0.7506885528564453, -0.7312362194061279, -0.654829204082489]"
1161.0,2007-03-01T00:00:00.000000000,"[-0.898760199546814, -1.0747772455215454, -1.0747772455215454, -0.920762300491333]","[-0.8061476945877075, -0.7623916268348694, -0.7479358911514282, -0.6688636541366577]"
1161.0,2007-06-01T00:00:00.000000000,"[-1.0747772455215454, -1.0747772455215454, -0.920762300491333, -0.9647666215896606]","[-0.7922059297561646, -0.7509863376617432, -0.7402952909469604, -0.6639558672904968]"
1161.0,2007-09-01T00:00:00.000000000,"[-1.0747772455215454, -0.920762300491333, -0.9647666215896606, -0.8107516169548035]","[-1.0832959413528442, -1.014286756515503, -1.0857903957366943, -1.0226534605026245]"
1161.0,2007-12-01T00:00:00.000000000,"[-0.920762300491333, -0.9647666215896606, -0.8107516169548035, -0.6347345113754272]","[-1.0996699333190918, -1.0872838497161865, -1.1912580728530884, -1.0938321352005005]"
1161.0,2008-03-01T00:00:00.000000000,"[-0.9647666215896606, -0.8107516169548035, -0.6347345113754272, -0.722743034362793]","[-1.058388352394104, -1.0055065155029297, -0.9902955889701843, -0.9216016530990601]"
1161.0,2008-06-01T00:00:00.000000000,"[-0.8107516169548035, -0.6347345113754272, -0.722743034362793, -0.7887494564056396]","[-0.9476000666618347, -0.9016530513763428, -0.8874120116233826, -0.8240103125572205]"
1161.0,2008-09-01T00:00:00.000000000,"[-0.6347345113754272, -0.722743034362793, -0.7887494564056396, -0.6567366123199463]","[-0.7297548055648804, -0.6956146359443665, -0.6751288175582886, -0.6208363175392151]"
1161.0,2008-12-01T00:00:00.000000000,"[-0.722743034362793, -0.7887494564056396, -0.6567366123199463, -0.48071953654289246]","[-0.5586423277854919, -0.538440465927124, -0.5266581177711487, -0.47836512327194214]"
1161.0,2009-03-01T00:00:00.000000000,"[-0.7887494564056396, -0.6567366123199463, -0.48071953654289246, -0.5247237682342529]","[-0.6917917728424072, -0.661034107208252, -0.6482397317886353, -0.5942005515098572]"
1161.0,2009-06-01T00:00:00.000000000,"[-0.6567366123199463, -0.48071953654289246, -0.5247237682342529, -0.45871737599372864]","[-0.6295807361602783, -0.6025243997573853, -0.590741753578186, -0.5407885909080505]"
